day,date,aapl,amzn,goog
158,2016-08-18,21984700.0,1458800.0,719400.0
159,2016-08-19,25368100.0,2343200.0,861500.0
160,2016-08-22,25820200.0,1679300.0,951400.0
161,2016-08-23,21257700.0,1524100.0,928200.0
162,2016-08-24,23675100.0,1744100.0,1072000.0
163,2016-08-25,25086200.0,1623000.0,926900.0
164,2016-08-26,27766300.0,2776800.0,1166700.0
165,2016-08-29,24970300.0,2185700.0,841000.0
166,2016-08-30,24863900.0,1709200.0,1130000.0
167,2016-08-31,29662400.0,1633800.0,1248600.0
168,2016-09-01,26701500.0,1792300.0,925100.0
169,2016-09-02,26802500.0,2181800.0,1072700.0
170,2016-09-06,26880400.0,3719800.0,1442800.0
171,2016-09-07,42364300.0,2424600.0,893700.0
172,2016-09-08,53002000.0,2026400.0,1260600.0
173,2016-09-09,46557000.0,4257300.0,1885500.0
174,2016-09-12,45292800.0,3124700.0,1311000.0
175,2016-09-13,62176200.0,3117200.0,1395000.0
176,2016-09-14,110888700.0,2523000.0,1087400.0
177,2016-09-15,89983600.0,3034000.0,1305100.0
178,2016-09-16,79886900.0,5499200.0,2049300.0
179,2016-09-19,47023000.0,2292500.0,1171100.0
180,2016-09-20,34514300.0,1937200.0,978600.0
181,2016-09-21,36003200.0,2718600.0,1167800.0
182,2016-09-22,31074000.0,4078900.0,1486200.0
183,2016-09-23,52481200.0,2353500.0,1411900.0
184,2016-09-26,29869400.0,2651400.0,1533200.0
185,2016-09-27,24607400.0,3819600.0,1153200.0
186,2016-09-28,29641100.0,4422100.0,1109800.0
187,2016-09-29,35887000.0,4922200.0,1314700.0
188,2016-09-30,36379100.0,4430600.0,1585300.0
189,2016-10-03,21701800.0,2769400.0,1278800.0
190,2016-10-04,29736800.0,2950300.0,1201400.0
191,2016-10-05,21453100.0,3469100.0,1461200.0
192,2016-10-06,28779300.0,2684000.0,1070700.0
193,2016-10-07,24358400.0,2426200.0,933200.0
194,2016-10-10,36236000.0,1818000.0,1161400.0
195,2016-10-11,64041000.0,3588200.0,1372500.0
196,2016-10-12,37586800.0,2380400.0,937400.0
197,2016-10-13,35192400.0,3091400.0,1365300.0
198,2016-10-14,35652200.0,2999800.0,852500.0
199,2016-10-17,23624900.0,3361500.0,1093000.0
200,2016-10-18,24553500.0,2480800.0,1995600.0
201,2016-10-19,20034600.0,2090700.0,1766800.0
202,2016-10-20,24125800.0,3152000.0,1757500.0
203,2016-10-21,23192700.0,2793000.0,1266200.0
204,2016-10-24,23538700.0,4060900.0,1697500.0
205,2016-10-25,48129000.0,3248400.0,1576400.0
206,2016-10-26,66134200.0,3998100.0,1647700.0
207,2016-10-27,34562000.0,7406400.0,2749200.0
208,2016-10-28,37861700.0,10841100.0,4269900.0
209,2016-10-31,26419400.0,5413300.0,2427300.0
210,2016-11-01,43825800.0,5305400.0,2406400.0
211,2016-11-02,28331700.0,5026500.0,1872400.0
212,2016-11-03,26932600.0,3872500.0,1943200.0
213,2016-11-04,30837000.0,5122100.0,2134800.0
214,2016-11-07,32560000.0,5984400.0,1585100.0
215,2016-11-08,24054500.0,3373300.0,1350800.0
216,2016-11-09,59176400.0,8562900.0,2607100.0
217,2016-11-10,57134500.0,12747000.0,4745200.0
218,2016-11-11,34094100.0,6622800.0,2431800.0
219,2016-11-14,51175500.0,7283200.0,3631700.0
220,2016-11-15,32264500.0,6755800.0,2384000.0
221,2016-11-16,58840500.0,3601400.0,1465200.0
222,2016-11-17,27632000.0,3690100.0,1304000.0
223,2016-11-18,28428900.0,4373400.0,1547100.0
224,2016-11-21,29264600.0,4614600.0,1330600.0
225,2016-11-22,25965500.0,5311300.0,1593100.0
226,2016-11-23,27426400.0,3522500.0,1477400.0
227,2016-11-25,11475900.0,1837100.0,587400.0
228,2016-11-28,27194000.0,4438800.0,2188200.0
229,2016-11-29,28528800.0,3272300.0,1616600.0
230,2016-11-30,36162300.0,4625900.0,2392900.0
231,2016-12-01,37086900.0,4666000.0,3017900.0
232,2016-12-02,26528000.0,3561300.0,1452500.0
233,2016-12-05,34324500.0,4314700.0,1394200.0
234,2016-12-06,26195500.0,3794700.0,1690700.0
235,2016-12-07,29998700.0,3684900.0,1761000.0
236,2016-12-08,27068300.0,3189600.0,1488100.0
237,2016-12-09,34402600.0,2470900.0,1821900.0
238,2016-12-12,26374400.0,2963900.0,2104100.0
239,2016-12-13,43733800.0,5285300.0,2145200.0
240,2016-12-14,34031800.0,5454800.0,1704200.0
241,2016-12-15,46524500.0,3801900.0,1626500.0
242,2016-12-16,44351100.0,4828700.0,2428300.0
243,2016-12-19,27779400.0,3113200.0,1232100.0
244,2016-12-20,21425000.0,2703600.0,951000.0
245,2016-12-21,23783200.0,2044600.0,1211300.0
246,2016-12-22,26085900.0,2543600.0,972200.0
247,2016-12-23,14181200.0,1976900.0,623400.0
248,2016-12-27,18296900.0,2638700.0,789100.0
249,2016-12-28,20905900.0,3301000.0,1153800.0
250,2016-12-29,15039500.0,3153500.0,742200.0
251,2016-12-30,30586300.0,4139400.0,1770000.0
